id,area,centroid,rectangle
1,637,"(14, 13)","((0, 0), (33, 28))"
2,653,"(241, 4)","((207, 0), (275, 14))"
3,1014,"(738, 16)","((715, 0), (759, 44))"
4,3149,"(874, 18)","((833, 0), (922, 44))"
5,2513,"(1058, 21)","((1015, 0), (1087, 56))"
6,675,"(1298, 3)","((1253, 0), (1343, 11))"
7,51,"(1389, 1)","((1383, 0), (1397, 5))"
8,307,"(1438, 4)","((1420, 0), (1457, 13))"
9,28075,"(1900, 74)","((1762, 0), (2066, 153))"
10,489,"(1997, 11)","((1981, 0), (2015, 26))"
11,223,"(2218, 5)","((2202, 0), (2231, 14))"
12,308,"(2941, 10)","((2932, 0), (2951, 23))"
13,8007,"(3106, 29)","((3033, 0), (3182, 83))"
14,315,"(3400, 7)","((3388, 0), (3414, 17))"
15,12,"(3410, 1)","((3409, 0), (3413, 3))"
16,43,"(3537, 1)","((3532, 0), (3544, 5))"
17,923,"(3597, 12)","((3564, 0), (3627, 27))"
18,127,"(3691, 1)","((3678, 0), (3707, 5))"
19,12,"(3842, 1)","((3841, 0), (3845, 3))"
20,202,"(3858, 4)","((3846, 0), (3870, 12))"
21,1239,"(3899, 28)","((3883, 0), (3918, 64))"
22,43,"(4095, 4)","((4092, 0), (4101, 8))"
23,6503,"(4306, 25)","((4230, 0), (4379, 71))"
24,819,"(4708, 6)","((4674, 0), (4738, 21))"
25,2431,"(1718, 28)","((1689, 3), (1753, 56))"
26,51,"(4114, 6)","((4109, 3), (4120, 10))"
27,55,"(4145, 6)","((4140, 4), (4151, 11))"
28,134,"(438, 12)","((431, 7), (446, 18))"
29,198,"(2908, 13)","((2899, 6), (2917, 22))"
30,6117,"(509, 71)","((455, 9), (553, 125))"
31,8,"(95, 10)","((94, 10), (98, 12))"
32,556,"(688, 21)","((671, 10), (706, 33))"
33,132,"(1455, 16)","((1447, 11), (1463, 25))"
34,8,"(3833, 10)","((3832, 10), (3836, 12))"
35,8,"(89, 13)","((88, 13), (92, 15))"
36,268,"(1300, 20)","((1289, 13), (1311, 30))"
37,8,"(1356, 12)","((1355, 12), (1359, 14))"
38,8,"(1433, 13)","((1432, 13), (1436, 15))"
39,8,"(502, 17)","((501, 17), (505, 19))"
40,3788,"(1181, 50)","((1142, 17), (1226, 85))"
