id,area,centroid,rectangle
1,12,"(83, 1)","((82, 0), (86, 3))"
2,74,"(129, 2)","((123, 0), (137, 7))"
3,384,"(228, 14)","((219, 0), (237, 35))"
4,39,"(329, 1)","((325, 0), (335, 5))"
5,108,"(385, 2)","((376, 0), (395, 8))"
6,89,"(450, 2)","((442, 0), (461, 7))"
7,141,"(481, 4)","((475, 0), (494, 13))"
8,4972,"(553, 40)","((516, 0), (606, 85))"
9,193,"(681, 6)","((672, 0), (691, 15))"
10,186,"(715, 4)","((705, 0), (728, 11))"
11,106,"(753, 2)","((745, 0), (764, 7))"
12,595,"(793, 8)","((776, 0), (821, 24))"
13,556,"(858, 13)","((837, 0), (875, 33))"
14,152,"(897, 2)","((886, 0), (910, 8))"
15,13,"(16, 6)","((14, 5), (19, 8))"
16,281,"(272, 12)","((259, 5), (284, 23))"
17,19,"(376, 6)","((374, 5), (380, 9))"
18,211,"(4, 16)","((0, 6), (12, 29))"
19,39,"(32, 8)","((28, 6), (37, 12))"
20,14,"(418, 7)","((416, 6), (422, 9))"
21,8,"(510, 6)","((509, 6), (513, 8))"
22,106,"(762, 12)","((757, 7), (769, 18))"
23,79,"(957, 12)","((952, 7), (964, 19))"
24,541,"(340, 29)","((327, 8), (360, 45))"
25,8,"(871, 8)","((870, 8), (874, 10))"
26,81,"(889, 15)","((884, 9), (895, 21))"
27,8,"(203, 10)","((202, 10), (206, 12))"
28,35,"(304, 13)","((301, 11), (309, 17))"
29,398,"(622, 19)","((609, 10), (637, 29))"
30,74,"(702, 15)","((698, 11), (709, 21))"
31,369,"(819, 27)","((806, 10), (831, 45))"
32,263,"(915, 21)","((904, 10), (928, 31))"
33,202,"(22, 21)","((15, 13), (31, 30))"
34,62,"(481, 16)","((476, 13), (491, 22))"
35,101,"(728, 19)","((723, 15), (736, 25))"
36,8,"(140, 16)","((139, 16), (143, 18))"
37,32,"(365, 19)","((363, 16), (369, 23))"
38,18,"(500, 17)","((498, 16), (505, 19))"
39,14,"(599, 18)","((597, 17), (603, 20))"
40,13,"(585, 19)","((583, 18), (588, 21))"
41,37,"(501, 24)","((498, 21), (506, 28))"
42,428,"(668, 32)","((653, 20), (683, 47))"
43,21,"(760, 21)","((758, 20), (763, 25))"
44,55,"(883, 23)","((879, 20), (889, 28))"
45,80,"(60, 26)","((56, 22), (67, 32))"
46,13,"(124, 24)","((122, 23), (127, 26))"
47,8,"(692, 22)","((691, 22), (695, 24))"
48,44,"(941, 24)","((938, 22), (946, 29))"
49,34,"(153, 25)","((150, 24), (159, 29))"
50,30,"(86, 28)","((84, 26), (90, 32))"
51,8,"(955, 29)","((954, 29), (958, 31))"
52,8,"(152, 31)","((151, 31), (155, 33))"
53,37,"(252, 32)","((249, 30), (258, 36))"
54,8,"(375, 30)","((374, 30), (378, 32))"
55,562,"(416, 46)","((402, 30), (444, 61))"
56,85,"(703, 35)","((699, 30), (709, 42))"
57,8,"(758, 31)","((757, 31), (761, 33))"
58,35,"(63, 35)","((59, 33), (68, 39))"
59,24,"(118, 34)","((115, 33), (123, 38))"
60,76,"(444, 36)","((440, 32), (450, 42))"
61,8,"(753, 33)","((752, 33), (756, 35))"
62,23,"(47, 36)","((44, 35), (52, 39))"
63,167,"(266, 41)","((258, 35), (277, 48))"
64,8,"(622, 35)","((621, 35), (625, 37))"
65,167,"(37, 42)","((29, 36), (46, 50))"
66,8,"(614, 37)","((613, 37), (617, 39))"
67,8,"(789, 36)","((788, 36), (792, 38))"
68,8,"(486, 39)","((485, 39), (489, 41))"
69,210,"(760, 46)","((750, 38), (771, 56))"
70,79,"(871, 41)","((866, 38), (879, 46))"
71,8,"(610, 41)","((609, 41), (613, 43))"
72,10,"(2, 43)","((0, 43), (5, 45))"
73,13,"(92, 44)","((90, 43), (95, 46))"
74,8,"(147, 42)","((146, 42), (150, 44))"
75,24,"(375, 44)","((373, 42), (379, 47))"
76,164,"(901, 50)","((894, 43), (910, 58))"
77,260,"(107, 55)","((98, 44), (118, 69))"
78,298,"(63, 57)","((51, 46), (76, 67))"
79,172,"(842, 54)","((830, 47), (853, 62))"
80,181,"(139, 55)","((128, 49), (150, 63))"
81,19,"(713, 50)","((711, 49), (717, 53))"
82,16,"(865, 50)","((863, 49), (869, 53))"
83,165,"(955, 54)","((946, 48), (964, 62))"
84,8,"(36, 51)","((35, 51), (39, 53))"
85,89,"(42, 56)","((37, 50), (50, 61))"
86,47,"(241, 53)","((238, 50), (247, 58))"
87,97,"(299, 55)","((293, 51), (308, 61))"
88,107,"(323, 56)","((319, 51), (331, 64))"
89,77,"(382, 55)","((378, 50), (388, 62))"
90,76,"(814, 52)","((808, 50), (823, 57))"
91,13,"(91, 54)","((89, 53), (94, 56))"
92,14,"(777, 53)","((775, 52), (781, 55))"
93,89,"(26, 59)","((21, 55), (33, 65))"
94,14,"(268, 55)","((266, 54), (272, 57))"
95,164,"(214, 65)","((206, 59), (223, 73))"
96,148,"(270, 64)","((263, 58), (279, 71))"
97,69,"(501, 63)","((497, 59), (506, 69))"
98,140,"(640, 67)","((633, 59), (649, 76))"
99,56,"(673, 62)","((668, 59), (679, 67))"
100,128,"(772, 64)","((766, 59), (781, 71))"
101,60,"(735, 63)","((730, 60), (742, 68))"
102,79,"(876, 64)","((871, 60), (883, 69))"
103,128,"(392, 67)","((386, 62), (400, 75))"
104,55,"(591, 65)","((586, 63), (599, 69))"
105,77,"(192, 68)","((187, 65), (199, 74))"
106,113,"(238, 70)","((232, 65), (246, 77))"
107,58,"(344, 67)","((341, 64), (350, 73))"
108,104,"(470, 69)","((464, 65), (476, 76))"
109,83,"(706, 69)","((701, 64), (711, 76))"
110,105,"(435, 71)","((429, 66), (441, 79))"
111,36,"(695, 68)","((692, 66), (701, 72))"
112,80,"(812, 70)","((807, 66), (819, 77))"
113,8,"(824, 67)","((823, 67), (827, 69))"
114,80,"(450, 74)","((445, 69), (456, 80))"
115,104,"(315, 76)","((307, 71), (325, 84))"
116,8,"(377, 70)","((376, 70), (380, 72))"
117,8,"(424, 71)","((423, 71), (427, 73))"
118,53,"(505, 73)","((502, 70), (512, 78))"
119,14,"(717, 71)","((715, 70), (721, 73))"
120,8,"(784, 71)","((783, 71), (787, 73))"
121,35,"(921, 72)","((915, 70), (929, 76))"
122,34,"(487, 75)","((485, 72), (492, 79))"
123,143,"(24, 80)","((16, 75), (34, 86))"
124,8,"(151, 74)","((150, 74), (154, 76))"
125,56,"(272, 78)","((268, 75), (277, 83))"
126,8,"(372, 75)","((371, 75), (375, 77))"
127,58,"(153, 81)","((150, 77), (159, 86))"
128,476,"(401, 88)","((385, 76), (418, 103))"
129,14,"(954, 77)","((952, 76), (958, 79))"
130,144,"(52, 85)","((47, 79), (62, 93))"
131,47,"(599, 83)","((596, 79), (604, 88))"
132,14,"(790, 79)","((788, 78), (794, 81))"
133,8,"(117, 81)","((116, 81), (120, 83))"
134,31,"(132, 82)","((129, 80), (136, 86))"
135,114,"(456, 85)","((449, 81), (464, 91))"
136,149,"(675, 87)","((668, 81), (687, 94))"
137,263,"(917, 88)","((905, 80), (931, 97))"
138,19,"(200, 83)","((198, 82), (204, 86))"
