id,area,centroid,rectangle
1,8,"(131, 1)","((131, 0), (133, 4))"
2,10,"(134, 2)","((134, 0), (136, 5))"
3,6,"(137, 1)","((137, 0), (139, 3))"
4,8,"(158, 1)","((158, 0), (160, 4))"
5,8,"(191, 1)","((191, 0), (193, 4))"
6,8,"(194, 1)","((194, 0), (196, 4))"
7,6,"(209, 1)","((209, 0), (211, 3))"
8,6,"(212, 1)","((212, 0), (214, 3))"
9,14,"(227, 3)","((227, 0), (229, 7))"
10,22,"(230, 5)","((230, 0), (232, 11))"
11,24,"(233, 5)","((233, 0), (235, 12))"
12,44,"(236, 10)","((236, 0), (238, 22))"
13,10,"(239, 4)","((239, 0), (240, 10))"
14,16,"(32, 6)","((32, 3), (34, 11))"
15,4,"(71, 2)","((71, 2), (73, 4))"
16,12,"(2, 7)","((2, 5), (4, 11))"
17,20,"(5, 8)","((5, 4), (7, 14))"
18,10,"(92, 7)","((92, 5), (94, 10))"
19,16,"(98, 8)","((98, 5), (100, 13))"
20,14,"(101, 8)","((101, 5), (103, 12))"
21,14,"(104, 7)","((104, 4), (106, 11))"
22,8,"(107, 5)","((107, 4), (109, 8))"
23,6,"(206, 6)","((206, 5), (208, 8))"
24,14,"(209, 7)","((209, 4), (211, 11))"
25,66,"(224, 21)","((224, 5), (226, 38))"
26,8,"(8, 7)","((8, 6), (10, 10))"
27,12,"(152, 8)","((152, 6), (154, 12))"
28,8,"(155, 7)","((155, 6), (157, 10))"
29,4,"(161, 7)","((161, 7), (163, 9))"
30,14,"(203, 9)","((203, 6), (205, 13))"
31,4,"(29, 8)","((29, 8), (31, 10))"
32,26,"(116, 14)","((116, 8), (118, 21))"
33,20,"(122, 13)","((122, 9), (124, 19))"
34,10,"(176, 10)","((176, 8), (178, 13))"
35,44,"(227, 19)","((227, 9), (229, 31))"
36,4,"(53, 11)","((53, 11), (55, 13))"
37,8,"(83, 12)","((83, 11), (85, 15))"
38,8,"(113, 11)","((113, 10), (115, 14))"
39,14,"(119, 14)","((119, 11), (121, 18))"
40,8,"(197, 12)","((197, 11), (199, 15))"
41,4,"(2, 12)","((2, 12), (4, 14))"
42,4,"(104, 13)","((104, 13), (106, 15))"
43,14,"(125, 15)","((125, 12), (127, 19))"
44,4,"(128, 12)","((128, 12), (130, 14))"
45,4,"(164, 12)","((164, 12), (166, 14))"
46,6,"(182, 14)","((182, 13), (184, 16))"
47,8,"(185, 13)","((185, 12), (187, 16))"
48,10,"(209, 14)","((209, 12), (211, 17))"
49,6,"(212, 14)","((212, 13), (214, 16))"
50,2,"(239, 12)","((239, 12), (240, 14))"
51,6,"(50, 15)","((50, 14), (52, 17))"
52,8,"(53, 15)","((53, 14), (55, 18))"
53,14,"(131, 18)","((131, 15), (133, 22))"
54,38,"(140, 24)","((140, 15), (142, 34))"
55,14,"(143, 18)","((143, 15), (145, 22))"
56,6,"(206, 15)","((206, 14), (208, 17))"
57,16,"(86, 19)","((86, 16), (88, 24))"
58,8,"(89, 18)","((89, 17), (91, 21))"
59,10,"(92, 18)","((92, 16), (94, 21))"
60,12,"(95, 18)","((95, 16), (97, 22))"
61,8,"(107, 17)","((107, 16), (109, 20))"
62,10,"(113, 19)","((113, 17), (115, 22))"
63,18,"(134, 20)","((134, 16), (136, 25))"
64,12,"(137, 19)","((137, 17), (139, 23))"
65,8,"(167, 18)","((167, 17), (169, 21))"
66,8,"(170, 17)","((170, 16), (172, 20))"
67,6,"(185, 18)","((185, 17), (187, 20))"
68,4,"(191, 16)","((191, 16), (193, 18))"
69,28,"(221, 22)","((221, 16), (223, 30))"
70,8,"(233, 17)","((233, 16), (235, 20))"
71,4,"(239, 17)","((239, 16), (240, 20))"
72,12,"(77, 21)","((77, 19), (79, 25))"
73,8,"(80, 19)","((80, 18), (82, 22))"
74,8,"(98, 19)","((98, 18), (100, 22))"
75,6,"(164, 19)","((164, 18), (166, 21))"
76,14,"(176, 21)","((176, 18), (178, 25))"
77,28,"(218, 24)","((218, 18), (220, 32))"
78,4,"(230, 18)","((230, 18), (232, 20))"
79,6,"(65, 21)","((65, 20), (67, 23))"
80,6,"(68, 21)","((68, 20), (70, 23))"
81,6,"(71, 21)","((71, 20), (73, 23))"
82,12,"(152, 23)","((152, 21), (154, 27))"
83,12,"(179, 23)","((179, 21), (181, 27))"
84,10,"(188, 23)","((188, 21), (190, 26))"
85,12,"(191, 22)","((191, 20), (193, 26))"
86,12,"(128, 25)","((128, 23), (130, 29))"
87,6,"(131, 24)","((131, 23), (133, 26))"
88,8,"(149, 24)","((149, 23), (151, 27))"
89,6,"(185, 23)","((185, 22), (187, 25))"
90,14,"(230, 26)","((230, 23), (232, 30))"
91,10,"(71, 26)","((71, 24), (73, 29))"
92,4,"(95, 25)","((95, 25), (97, 27))"
93,6,"(125, 26)","((125, 25), (127, 28))"
94,12,"(167, 27)","((167, 25), (169, 31))"
95,16,"(170, 27)","((170, 24), (172, 32))"
96,14,"(200, 28)","((200, 25), (202, 32))"
97,6,"(206, 26)","((206, 25), (208, 28))"
98,8,"(233, 25)","((233, 24), (235, 28))"
99,10,"(41, 29)","((41, 27), (43, 32))"
100,10,"(44, 29)","((44, 27), (46, 32))"
101,6,"(47, 28)","((47, 27), (49, 30))"
102,6,"(74, 27)","((74, 26), (76, 29))"
103,6,"(98, 28)","((98, 27), (100, 30))"
104,18,"(101, 30)","((101, 26), (103, 35))"
105,14,"(104, 30)","((104, 27), (106, 34))"
106,24,"(134, 31)","((134, 26), (136, 38))"
107,20,"(137, 30)","((137, 26), (139, 36))"
108,8,"(155, 27)","((155, 26), (157, 30))"
109,6,"(158, 28)","((158, 27), (160, 30))"
110,4,"(188, 27)","((188, 27), (190, 29))"
111,18,"(215, 31)","((215, 27), (217, 36))"
112,6,"(95, 30)","((95, 29), (97, 32))"
113,10,"(131, 31)","((131, 29), (133, 34))"
114,8,"(143, 30)","((143, 29), (145, 33))"
115,6,"(83, 32)","((83, 31), (85, 34))"
116,8,"(86, 31)","((86, 30), (88, 34))"
117,8,"(89, 31)","((89, 30), (91, 34))"
118,6,"(92, 31)","((92, 30), (94, 33))"
119,6,"(128, 31)","((128, 30), (130, 33))"
120,24,"(173, 35)","((173, 30), (175, 42))"
121,6,"(65, 34)","((65, 33), (67, 36))"
122,4,"(161, 33)","((161, 33), (163, 35))"
123,8,"(176, 33)","((176, 32), (178, 36))"
124,8,"(188, 34)","((188, 33), (190, 37))"
125,8,"(194, 34)","((194, 33), (196, 37))"
126,12,"(212, 35)","((212, 33), (214, 39))"
127,6,"(227, 33)","((227, 32), (229, 35))"
128,10,"(233, 35)","((233, 33), (235, 38))"
129,20,"(47, 39)","((47, 35), (49, 45))"
130,6,"(107, 36)","((107, 35), (109, 38))"
131,8,"(143, 36)","((143, 35), (145, 39))"
132,4,"(155, 35)","((155, 35), (157, 37))"
133,14,"(170, 37)","((170, 34), (172, 41))"
