id,area,centroid,rectangle
1,237567,"(207, 289)","((0, 0), (537, 723))"
2,6,"(545, 1)","((545, 0), (547, 3))"
3,41,"(567, 3)","((563, 0), (571, 9))"
4,2734,"(640, 15)","((576, 0), (717, 50))"
5,212,"(738, 3)","((722, 0), (752, 11))"
6,12345,"(900, 51)","((799, 0), (964, 128))"
7,66,"(715, 16)","((709, 13), (724, 20))"
8,59,"(699, 20)","((695, 17), (705, 25))"
9,18,"(726, 24)","((724, 23), (730, 27))"
10,221,"(674, 40)","((660, 30), (691, 48))"
11,13,"(689, 41)","((687, 40), (692, 43))"
12,60,"(611, 47)","((606, 43), (619, 53))"
13,184,"(694, 53)","((685, 46), (705, 62))"
14,13,"(648, 55)","((646, 54), (651, 57))"
15,50,"(737, 65)","((733, 60), (742, 71))"
16,548,"(621, 76)","((605, 62), (646, 94))"
17,8,"(823, 71)","((822, 71), (826, 73))"
18,4,"(615, 96)","((615, 96), (617, 98))"
19,172998,"(730, 501)","((350, 107), (964, 723))"
20,14,"(910, 118)","((909, 117), (913, 122))"
21,104,"(519, 130)","((512, 125), (526, 138))"
22,14,"(944, 126)","((942, 125), (947, 129))"
23,7,"(54, 136)","((53, 135), (56, 138))"
24,2,"(963, 137)","((963, 137), (964, 139))"
25,2,"(963, 140)","((963, 140), (964, 142))"
26,271,"(525, 159)","((515, 151), (537, 168))"
27,13,"(627, 157)","((625, 156), (630, 159))"
28,8,"(878, 159)","((877, 158), (880, 162))"
29,300,"(626, 180)","((613, 174), (641, 187))"
30,27,"(645, 194)","((642, 193), (651, 197))"
31,122,"(637, 203)","((632, 196), (643, 211))"
32,658,"(577, 234)","((546, 221), (604, 250))"
33,33,"(239, 230)","((236, 228), (244, 234))"
34,185,"(483, 248)","((477, 241), (492, 258))"
35,19,"(643, 264)","((640, 264), (648, 267))"
36,73,"(647, 271)","((643, 268), (654, 277))"
37,8,"(687, 294)","((686, 294), (690, 296))"
38,19,"(421, 310)","((419, 309), (425, 313))"
39,52,"(759, 337)","((755, 334), (764, 342))"
40,41,"(512, 341)","((508, 339), (518, 345))"
41,27,"(522, 344)","((519, 342), (526, 347))"
42,4,"(717, 342)","((717, 342), (719, 344))"
43,13,"(703, 348)","((701, 347), (706, 350))"
44,4,"(722, 349)","((722, 349), (724, 351))"
45,84,"(530, 374)","((524, 371), (537, 381))"
46,26,"(507, 378)","((504, 375), (512, 383))"
47,18,"(558, 381)","((556, 380), (562, 384))"
48,8,"(787, 382)","((786, 381), (790, 384))"
49,142,"(468, 391)","((462, 383), (478, 400))"
50,152,"(558, 398)","((551, 391), (566, 407))"
51,44,"(504, 397)","((501, 393), (509, 405))"
52,8,"(595, 392)","((594, 392), (598, 394))"
53,4,"(503, 406)","((503, 406), (505, 408))"
54,71,"(550, 411)","((545, 407), (556, 416))"
55,7,"(914, 407)","((913, 406), (916, 409))"
56,87,"(493, 415)","((487, 412), (502, 422))"
57,4,"(338, 424)","((338, 424), (340, 426))"
58,289,"(523, 446)","((515, 431), (532, 463))"
59,13,"(774, 451)","((772, 450), (777, 453))"
60,81,"(594, 462)","((588, 456), (602, 469))"
61,11,"(471, 463)","((470, 462), (473, 467))"
62,7,"(625, 465)","((624, 464), (627, 467))"
63,13,"(402, 505)","((400, 504), (405, 507))"
64,11,"(323, 513)","((321, 513), (326, 516))"
65,8,"(571, 514)","((570, 513), (574, 516))"
66,39,"(347, 536)","((343, 534), (352, 540))"
67,22,"(358, 544)","((355, 543), (362, 547))"
68,26,"(338, 555)","((334, 553), (344, 558))"
69,8,"(661, 554)","((660, 554), (664, 556))"
70,83,"(322, 560)","((314, 556), (330, 565))"
71,8,"(301, 563)","((300, 563), (304, 565))"
72,4,"(775, 563)","((775, 563), (777, 565))"
73,81,"(320, 570)","((314, 565), (327, 575))"
74,27,"(333, 569)","((330, 567), (337, 572))"
75,21,"(200, 585)","((199, 583), (204, 589))"
76,8511,"(253, 670)","((169, 583), (347, 723))"
77,41,"(367, 607)","((363, 603), (374, 612))"
78,4,"(348, 609)","((348, 609), (350, 611))"
79,25,"(373, 618)","((371, 615), (378, 622))"
80,19,"(500, 618)","((498, 615), (504, 622))"
81,29,"(321, 640)","((317, 638), (327, 643))"
82,11,"(314, 644)","((313, 643), (317, 647))"
83,6,"(1, 656)","((0, 656), (3, 658))"
84,6,"(1, 659)","((0, 659), (3, 661))"
85,6,"(1, 662)","((0, 662), (3, 664))"
86,7,"(811, 675)","((810, 674), (813, 677))"
87,17,"(465, 683)","((463, 681), (468, 686))"
88,24,"(509, 698)","((508, 695), (512, 703))"
89,4,"(500, 697)","((500, 697), (502, 699))"
90,5,"(377, 721)","((376, 721), (379, 723))"
91,2,"(829, 722)","((829, 722), (831, 723))"
