id,area,centroid,rectangle
1,167,"(7, 6)","((0, 0), (16, 14))"
2,104,"(154, 4)","((149, 0), (162, 10))"
3,147,"(275, 4)","((267, 0), (285, 12))"
4,86,"(301, 2)","((295, 0), (309, 8))"
5,53,"(350, 2)","((346, 0), (356, 7))"
6,72,"(431, 4)","((424, 0), (440, 9))"
7,38,"(517, 1)","((513, 0), (524, 4))"
8,130,"(583, 4)","((577, 0), (591, 11))"
9,313,"(647, 9)","((636, 0), (661, 21))"
10,223,"(705, 5)","((688, 0), (717, 17))"
11,129,"(760, 3)","((751, 0), (770, 8))"
12,805,"(910, 13)","((895, 0), (930, 33))"
13,10,"(962, 1)","((961, 0), (964, 4))"
14,117,"(777, 8)","((771, 3), (785, 15))"
15,326,"(136, 17)","((124, 7), (150, 30))"
16,27,"(551, 9)","((548, 7), (555, 12))"
17,124,"(811, 12)","((804, 7), (819, 18))"
18,40,"(89, 10)","((86, 8), (94, 14))"
19,8,"(166, 8)","((165, 8), (169, 10))"
20,110,"(380, 13)","((376, 8), (387, 21))"
21,19,"(869, 9)","((867, 8), (873, 12))"
22,45,"(116, 12)","((112, 10), (121, 16))"
23,8,"(574, 11)","((573, 11), (577, 13))"
24,196,"(321, 22)","((313, 13), (333, 33))"
25,19,"(540, 14)","((538, 13), (544, 17))"
26,96,"(2, 23)","((0, 15), (9, 32))"
27,170,"(600, 22)","((593, 14), (610, 32))"
28,105,"(959, 19)","((952, 14), (964, 29))"
29,594,"(209, 35)","((197, 16), (221, 56))"
30,526,"(552, 28)","((538, 18), (570, 40))"
31,66,"(713, 22)","((709, 19), (719, 28))"
32,13,"(172, 21)","((170, 20), (175, 23))"
33,19,"(515, 21)","((513, 20), (519, 24))"
34,48,"(93, 26)","((89, 23), (98, 31))"
35,347,"(354, 33)","((342, 23), (372, 46))"
36,32,"(391, 25)","((388, 23), (395, 29))"
37,13,"(953, 23)","((951, 22), (956, 25))"
38,19,"(763, 25)","((761, 24), (767, 28))"
39,62,"(114, 29)","((109, 26), (121, 33))"
40,91,"(312, 30)","((307, 26), (320, 36))"
41,24,"(731, 27)","((729, 26), (735, 31))"
42,81,"(787, 31)","((783, 27), (793, 39))"
43,85,"(235, 32)","((230, 28), (243, 38))"
44,753,"(141, 45)","((118, 31), (163, 61))"
45,21,"(165, 31)","((163, 30), (168, 35))"
46,14,"(757, 31)","((755, 30), (761, 33))"
47,6,"(1, 33)","((0, 33), (3, 35))"
48,157,"(437, 41)","((430, 35), (446, 49))"
49,458,"(712, 51)","((698, 34), (725, 71))"
50,6,"(1, 36)","((0, 36), (3, 38))"
51,33,"(519, 39)","((516, 37), (523, 43))"
52,175,"(589, 43)","((581, 37), (601, 50))"
53,1263,"(33, 56)","((3, 39), (69, 78))"
54,13,"(277, 39)","((275, 38), (280, 41))"
55,609,"(87, 55)","((71, 40), (103, 74))"
56,85,"(777, 44)","((772, 41), (786, 50))"
57,70,"(309, 46)","((304, 43), (315, 51))"
58,423,"(654, 55)","((639, 43), (669, 67))"
59,491,"(865, 55)","((851, 42), (884, 68))"
60,297,"(244, 54)","((231, 44), (256, 69))"
61,46,"(270, 45)","((265, 44), (277, 49))"
62,104,"(955, 50)","((950, 45), (963, 56))"
63,198,"(356, 55)","((348, 49), (366, 63))"
64,667,"(177, 64)","((161, 50), (205, 82))"
65,8,"(525, 51)","((524, 51), (528, 53))"
66,40,"(844, 52)","((839, 50), (850, 56))"
67,24,"(918, 53)","((916, 51), (922, 56))"
68,334,"(930, 62)","((918, 53), (942, 72))"
69,8,"(523, 56)","((522, 56), (526, 58))"
70,250,"(802, 63)","((790, 56), (816, 72))"
71,82,"(330, 63)","((323, 59), (338, 68))"
72,105,"(952, 63)","((946, 58), (959, 70))"
73,8,"(446, 61)","((445, 61), (449, 63))"
74,170,"(488, 66)","((481, 60), (498, 76))"
75,8,"(304, 62)","((303, 62), (307, 64))"
76,48,"(584, 65)","((579, 63), (591, 69))"
77,43,"(692, 66)","((688, 63), (697, 70))"
78,19,"(740, 63)","((738, 62), (744, 66))"
79,8,"(961, 65)","((960, 65), (964, 67))"
80,341,"(206, 79)","((196, 67), (216, 94))"
81,135,"(545, 72)","((538, 67), (554, 78))"
82,83,"(731, 71)","((727, 67), (737, 78))"
83,8,"(283, 68)","((282, 68), (286, 70))"
84,69,"(781, 73)","((776, 70), (787, 78))"
85,37,"(312, 76)","((309, 74), (318, 80))"
86,435,"(131, 85)","((112, 76), (154, 94))"
87,58,"(373, 85)","((370, 81), (378, 90))"
88,410,"(402, 96)","((390, 83), (415, 110))"
89,8,"(848, 82)","((847, 82), (851, 84))"
90,23,"(903, 85)","((900, 83), (907, 88))"
91,448,"(97, 104)","((80, 87), (111, 120))"
92,172,"(183, 95)","((178, 87), (190, 106))"
93,74,"(331, 91)","((327, 86), (336, 97))"
94,40,"(581, 88)","((578, 86), (587, 92))"
95,3800,"(661, 121)","((620, 87), (702, 162))"
96,171,"(353, 96)","((344, 89), (362, 105))"
97,548,"(491, 97)","((473, 88), (514, 109))"
