id,area,centroid,rectangle
1,237,"(117, 5)","((108, 0), (134, 14))"
2,255,"(155, 8)","((147, 0), (166, 22))"
3,283,"(232, 6)","((217, 0), (249, 16))"
4,41,"(272, 1)","((267, 0), (278, 4))"
5,12,"(326, 1)","((325, 0), (329, 3))"
6,35,"(450, 2)","((448, 0), (455, 6))"
7,118,"(541, 4)","((534, 0), (549, 10))"
8,82,"(624, 4)","((618, 0), (634, 10))"
9,105,"(723, 2)","((715, 0), (732, 8))"
10,744,"(762, 12)","((746, 0), (784, 31))"
11,59,"(899, 3)","((895, 0), (905, 8))"
12,149,"(359, 13)","((350, 5), (369, 21))"
13,32,"(400, 7)","((397, 5), (404, 11))"
14,28,"(571, 5)","((568, 4), (576, 8))"
15,51,"(711, 8)","((707, 5), (718, 12))"
16,333,"(854, 12)","((842, 4), (866, 23))"
17,13,"(128, 8)","((126, 7), (131, 10))"
18,8,"(348, 6)","((347, 6), (351, 8))"
19,18,"(673, 8)","((671, 7), (677, 11))"
20,8,"(514, 8)","((513, 8), (517, 10))"
21,24,"(724, 10)","((722, 9), (728, 14))"
22,792,"(803, 22)","((778, 8), (829, 39))"
23,8,"(23, 10)","((22, 10), (26, 12))"
24,62,"(201, 14)","((196, 11), (207, 19))"
25,89,"(220, 16)","((216, 11), (228, 22))"
26,18,"(318, 12)","((316, 11), (322, 15))"
27,44,"(79, 17)","((76, 15), (85, 22))"
28,129,"(175, 21)","((169, 15), (184, 29))"
29,8,"(949, 14)","((948, 14), (952, 16))"
30,357,"(23, 27)","((14, 17), (34, 40))"
31,8,"(232, 17)","((231, 17), (235, 19))"
32,13,"(244, 18)","((242, 17), (247, 20))"
33,214,"(401, 26)","((392, 17), (411, 36))"
34,8,"(41, 19)","((40, 19), (44, 21))"
35,216,"(466, 25)","((451, 18), (478, 36))"
36,71,"(896, 22)","((891, 19), (903, 27))"
37,151,"(351, 26)","((345, 20), (360, 34))"
38,52,"(304, 26)","((301, 23), (310, 31))"
39,81,"(378, 26)","((373, 23), (385, 31))"
40,19,"(530, 23)","((528, 22), (534, 26))"
41,27,"(634, 24)","((632, 23), (639, 28))"
42,31,"(873, 26)","((871, 23), (877, 30))"
43,8,"(435, 24)","((434, 24), (438, 26))"
44,46,"(504, 27)","((501, 24), (508, 32))"
45,13,"(54, 28)","((52, 27), (57, 30))"
46,102,"(526, 33)","((521, 28), (532, 40))"
47,8,"(599, 28)","((598, 28), (602, 30))"
48,437,"(96, 41)","((84, 30), (111, 54))"
49,139,"(709, 34)","((700, 30), (719, 42))"
50,46,"(723, 36)","((719, 33), (728, 41))"
51,24,"(804, 35)","((802, 33), (808, 38))"
52,43,"(291, 37)","((287, 35), (296, 41))"
53,39,"(505, 35)","((502, 34), (511, 39))"
54,13,"(140, 38)","((138, 37), (143, 40))"
55,137,"(318, 41)","((311, 36), (326, 48))"
56,58,"(545, 40)","((541, 37), (551, 45))"
57,60,"(887, 41)","((884, 38), (893, 46))"
58,108,"(908, 43)","((902, 39), (915, 51))"
59,111,"(70, 46)","((64, 41), (77, 53))"
60,356,"(430, 51)","((415, 41), (446, 61))"
