id,area,centroid,rectangle
1,480451,"(497, 393)","((0, 0), (964, 723))"
2,15,"(352, 1)","((350, 0), (355, 4))"
3,6,"(356, 1)","((356, 0), (358, 3))"
4,6,"(359, 1)","((359, 0), (361, 3))"
5,961,"(399, 10)","((364, 0), (433, 31))"
6,87,"(446, 6)","((443, 0), (452, 14))"
7,114,"(819, 4)","((811, 0), (830, 10))"
8,49,"(833, 2)","((829, 0), (839, 6))"
9,17,"(519, 5)","((517, 3), (522, 8))"
10,64,"(522, 16)","((519, 9), (527, 24))"
11,32,"(465, 13)","((461, 12), (471, 17))"
12,44,"(828, 17)","((825, 14), (834, 22))"
13,91,"(452, 22)","((447, 16), (459, 30))"
14,8,"(441, 24)","((440, 24), (444, 26))"
15,4,"(411, 30)","((411, 30), (413, 32))"
16,4,"(244, 32)","((244, 32), (246, 34))"
17,4,"(247, 32)","((247, 32), (249, 34))"
18,35,"(432, 39)","((428, 38), (439, 42))"
19,29,"(419, 54)","((417, 52), (424, 58))"
20,4,"(736, 65)","((736, 65), (738, 67))"
21,33,"(249, 81)","((247, 77), (252, 86))"
22,154,"(403, 83)","((396, 77), (411, 92))"
23,4,"(268, 80)","((268, 80), (270, 82))"
24,4,"(270, 84)","((270, 84), (272, 86))"
25,36,"(262, 92)","((260, 90), (267, 97))"
26,7,"(199, 96)","((198, 95), (201, 98))"
27,271,"(363, 119)","((351, 110), (377, 128))"
28,70,"(312, 118)","((307, 115), (319, 124))"
29,4,"(402, 123)","((402, 123), (404, 125))"
30,733,"(321, 176)","((303, 159), (341, 203))"
31,18,"(478, 170)","((476, 169), (482, 174))"
32,24,"(267, 178)","((265, 176), (271, 181))"
33,18,"(262, 182)","((260, 181), (266, 185))"
34,4,"(300, 180)","((300, 180), (302, 182))"
35,10,"(298, 185)","((297, 184), (301, 188))"
36,33,"(1, 194)","((0, 191), (4, 200))"
37,8,"(810, 192)","((809, 192), (813, 194))"
38,19,"(1, 223)","((0, 221), (4, 226))"
39,13,"(8, 221)","((6, 220), (11, 223))"
40,4,"(287, 229)","((287, 229), (289, 231))"
41,55,"(769, 234)","((765, 230), (775, 239))"
42,4,"(158, 259)","((158, 259), (160, 261))"
43,46,"(498, 281)","((495, 276), (504, 289))"
44,31,"(276, 296)","((274, 293), (280, 300))"
45,8,"(429, 297)","((428, 297), (432, 299))"
46,63,"(296, 305)","((292, 299), (303, 312))"
47,17,"(399, 319)","((398, 317), (402, 323))"
48,7,"(256, 324)","((255, 323), (258, 326))"
49,4,"(259, 323)","((259, 323), (261, 325))"
50,7,"(263, 323)","((262, 322), (265, 325))"
51,22,"(420, 325)","((418, 323), (424, 330))"
52,4,"(211, 350)","((211, 350), (213, 352))"
53,11,"(403, 358)","((402, 357), (406, 361))"
54,4,"(177, 393)","((177, 393), (179, 395))"
55,24,"(615, 446)","((612, 445), (621, 449))"
56,27,"(291, 450)","((289, 448), (295, 454))"
57,4,"(356, 454)","((356, 454), (358, 456))"
58,4,"(404, 460)","((404, 460), (406, 462))"
59,33,"(1, 530)","((0, 527), (4, 536))"
60,166,"(5, 547)","((0, 539), (14, 559))"
61,4,"(540, 552)","((540, 552), (542, 554))"
62,6,"(1, 560)","((0, 560), (3, 562))"
63,7,"(700, 615)","((699, 614), (702, 617))"
64,6,"(1, 629)","((0, 629), (3, 631))"
65,4,"(654, 636)","((654, 636), (656, 638))"
66,61,"(662, 670)","((659, 664), (667, 677))"
67,49,"(666, 688)","((663, 684), (671, 694))"
68,74,"(550, 719)","((542, 715), (559, 723))"
