id,area,centroid,rectangle
1,21,"(235, 1)","((232, 0), (239, 3))"
2,3756,"(360, 27)","((318, 0), (409, 60))"
3,26698,"(519, 80)","((367, 0), (656, 163))"
4,459,"(560, 10)","((547, 0), (576, 23))"
5,12,"(626, 1)","((625, 0), (629, 3))"
6,135,"(704, 2)","((694, 0), (716, 8))"
7,122,"(798, 5)","((793, 0), (805, 12))"
8,44,"(849, 4)","((847, 0), (853, 10))"
9,314,"(875, 4)","((856, 0), (894, 12))"
10,322,"(920, 7)","((909, 0), (933, 18))"
11,65,"(110, 4)","((105, 2), (117, 9))"
12,26,"(199, 4)","((196, 3), (204, 7))"
13,33,"(740, 5)","((737, 3), (744, 8))"
14,23,"(154, 6)","((151, 5), (158, 9))"
15,90,"(21, 11)","((14, 7), (28, 17))"
16,33,"(184, 11)","((181, 9), (188, 15))"
17,8,"(267, 9)","((266, 9), (270, 11))"
18,89,"(827, 13)","((822, 9), (834, 19))"
19,120,"(745, 16)","((739, 11), (753, 22))"
20,31,"(939, 13)","((936, 11), (944, 16))"
21,14,"(67, 16)","((65, 15), (71, 18))"
22,52,"(236, 19)","((233, 16), (242, 24))"
23,43,"(411, 18)","((407, 16), (416, 22))"
24,601,"(791, 33)","((780, 17), (808, 50))"
25,8,"(41, 19)","((40, 19), (44, 21))"
26,114,"(841, 26)","((833, 21), (850, 32))"
27,234,"(46, 31)","((39, 22), (55, 44))"
28,334,"(5, 42)","((0, 24), (21, 59))"
29,42,"(25, 27)","((21, 25), (31, 31))"
30,54,"(618, 29)","((613, 27), (625, 33))"
31,314,"(668, 38)","((656, 26), (684, 51))"
32,120,"(163, 34)","((158, 28), (170, 43))"
33,195,"(765, 37)","((758, 29), (773, 47))"
34,13,"(961, 30)","((959, 29), (964, 32))"
35,92,"(904, 36)","((896, 33), (913, 41))"
36,21,"(960, 34)","((958, 33), (964, 37))"
37,116,"(108, 39)","((102, 34), (116, 45))"
38,39,"(227, 36)","((223, 34), (232, 40))"
39,80,"(711, 38)","((707, 35), (719, 44))"
40,131,"(854, 44)","((847, 39), (862, 52))"
41,19,"(20, 41)","((18, 40), (24, 44))"
42,60,"(221, 45)","((218, 41), (227, 51))"
43,13,"(905, 44)","((903, 43), (908, 46))"
44,98,"(144, 52)","((137, 48), (153, 58))"
45,53,"(180, 52)","((177, 49), (186, 57))"
46,576,"(303, 72)","((285, 51), (321, 91))"
47,8,"(651, 51)","((650, 51), (654, 53))"
48,44,"(110, 55)","((107, 53), (116, 60))"
49,13,"(810, 58)","((808, 57), (813, 60))"
50,386,"(939, 67)","((927, 57), (953, 81))"
51,35,"(171, 60)","((167, 58), (176, 63))"
52,35,"(654, 61)","((651, 58), (658, 65))"
